name,nameWithOwner,url,stars,createdAt,updatedAt,language,releases,mergedPRs,issues_total,issues_closed,issues_closed_ratio
build-your-own-x,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,472206,2018-05-09T12:03:18Z,2026-03-04T23:02:47Z,Markdown,0,155,888,653,0.7353603603603603
awesome,sindresorhus/awesome,https://github.com/sindresorhus/awesome,442568,2014-07-11T13:42:37Z,2026-03-04T22:51:08Z,,0,694,365,349,0.9561643835616438
freeCodeCamp,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,437779,2014-12-24T17:49:19Z,2026-03-04T22:24:57Z,TypeScript,0,27753,21151,20970,0.9914424849888894
public-apis,public-apis/public-apis,https://github.com/public-apis/public-apis,404189,2016-03-20T23:49:42Z,2026-03-04T22:55:46Z,Python,0,1872,837,832,0.994026284348865
free-programming-books,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,383594,2013-10-11T06:50:37Z,2026-03-04T22:30:39Z,Python,0,7328,1263,1227,0.9714964370546318
developer-roadmap,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,350183,2017-03-15T13:45:52Z,2026-03-04T22:52:28Z,TypeScript,1,4070,3084,3054,0.9902723735408561
coding-interview-university,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,337583,2016-06-06T02:34:12Z,2026-03-04T21:54:20Z,,0,415,525,454,0.8647619047619047
system-design-primer,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,337300,2017-02-26T16:15:28Z,2026-03-04T22:52:10Z,Python,0,203,360,110,0.3055555555555556
awesome-python,vinta/awesome-python,https://github.com/vinta/awesome-python,285593,2014-06-27T21:00:06Z,2026-03-04T22:33:23Z,Python,0,641,0,0,0
awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,276666,2015-06-01T02:33:17Z,2026-03-04T23:00:52Z,,1,2395,807,807,1.0
996.ICU,996icu/996.ICU,https://github.com/996icu/996.ICU,275629,2019-03-26T07:31:14Z,2026-03-04T22:50:06Z,,0,1072,0,0,0
project-based-learning,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,260125,2017-04-12T05:07:46Z,2026-03-04T22:50:47Z,,0,182,227,82,0.36123348017621143
openclaw,openclaw/openclaw,https://github.com/openclaw/openclaw,260038,2025-11-24T10:16:47Z,2026-03-04T23:02:25Z,TypeScript,59,2684,14957,9924,0.6635020391789798
react,facebook/react,https://github.com/facebook/react,243609,2013-05-24T16:15:54Z,2026-03-04T22:57:18Z,JavaScript,118,12773,14383,13574,0.9437530417854412
linux,torvalds/linux,https://github.com/torvalds/linux,220864,2011-09-04T22:48:12Z,2026-03-04T22:53:02Z,C,0,0,0,0,0
Python,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,218328,2016-07-16T09:44:01Z,2026-03-04T21:58:50Z,Python,0,3046,1702,1540,0.9048178613396005
vue,vuejs/vue,https://github.com/vuejs/vue,209957,2013-07-29T03:24:51Z,2026-03-04T20:44:20Z,TypeScript,249,1136,10027,9668,0.9641966689937169
the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,208681,2018-06-23T10:43:14Z,2026-03-04T23:01:33Z,,0,122,0,0,0
computer-science,ossu/computer-science,https://github.com/ossu/computer-science,202116,2014-05-04T00:18:39Z,2026-03-04T22:46:14Z,HTML,0,305,666,654,0.9819819819819819
javascript-algorithms,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,195720,2018-03-24T07:47:04Z,2026-03-04T20:55:48Z,JavaScript,0,304,371,233,0.628032345013477
tensorflow,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,194000,2015-11-07T01:19:20Z,2026-03-04T22:45:16Z,C++,221,42283,41191,40299,0.9783447840547692
ohmyzsh,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,185106,2009-08-28T18:15:37Z,2026-03-04T22:50:06Z,Shell,0,3515,5032,4890,0.9717806041335453
You-Dont-Know-JS,getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184456,2013-11-16T02:37:24Z,2026-03-04T22:28:34Z,,0,370,949,949,1.0
CS-Notes,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,183803,2018-02-13T14:56:24Z,2026-03-04T22:50:08Z,,0,374,578,449,0.7768166089965398
vscode,microsoft/vscode,https://github.com/microsoft/vscode,182296,2015-09-03T20:23:38Z,2026-03-04T23:01:12Z,TypeScript,197,43271,231946,218634,0.9426073310167021
AutoGPT,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,182194,2023-03-16T09:21:07Z,2026-03-04T23:00:23Z,Python,93,3951,3736,3501,0.9370985010706638
Python-100-Days,jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,179260,2018-03-01T16:05:52Z,2026-03-04T21:41:33Z,Jupyter Notebook,0,13,711,188,0.26441631504922647
n8n,n8n-io/n8n,https://github.com/n8n-io/n8n,177582,2019-06-22T09:24:21Z,2026-03-04T23:01:04Z,TypeScript,547,14056,8196,7722,0.9421669106881405
flutter,flutter/flutter,https://github.com/flutter/flutter,175425,2015-03-06T22:54:58Z,2026-03-04T22:50:08Z,Dart,7,46916,112424,100258,0.8917846723119619
bootstrap,twbs/bootstrap,https://github.com/twbs/bootstrap,174017,2011-07-29T21:19:00Z,2026-03-04T22:51:47Z,MDX,94,9113,22848,22453,0.9827118347338936
gitignore,github/gitignore,https://github.com/github/gitignore,172818,2010-11-08T20:17:14Z,2026-03-04T22:12:22Z,,0,1727,0,0,0
Microsoft-Activation-Scripts,massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,167690,2020-01-12T23:03:34Z,2026-03-04T22:59:18Z,Batchfile,29,5,908,906,0.9977973568281938
awesome-go,avelino/awesome-go,https://github.com/avelino/awesome-go,166558,2014-07-06T13:42:15Z,2026-03-04T22:33:36Z,Go,0,3605,727,713,0.9807427785419532
ollama,ollama/ollama,https://github.com/ollama/ollama,164091,2023-06-26T19:39:32Z,2026-03-04T22:31:52Z,Go,188,3069,9477,7496,0.7909676057824206
stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,161486,2022-08-22T14:05:26Z,2026-03-04T23:01:26Z,Python,27,1884,7885,5486,0.6957514267596703
the-art-of-command-line,jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,160045,2015-05-20T15:11:03Z,2026-03-04T20:42:18Z,,0,317,258,136,0.5271317829457365
transformers,huggingface/transformers,https://github.com/huggingface/transformers,157391,2018-10-29T13:56:00Z,2026-03-04T22:51:16Z,Python,244,18722,18655,17581,0.9424283034039131
JavaGuide,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,154031,2018-05-07T13:27:00Z,2026-03-04T22:50:16Z,Java,0,1213,1130,1056,0.9345132743362832
FreeDomain,DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,150673,2024-05-30T13:23:00Z,2026-03-04T23:03:20Z,HTML,0,1,0,0,0
